1	2	2	2	1	2	1	
2	1	3	3	3	1	1	
3	1	2	1	1	1	2	
4	1	1	1	1	1	1	
5	1	1	1	1	1	1	
6	1	1	1	2	1	2	
7	1	1	1	1	1	1	
8	1	1	1	1	1	1	
9	1	1	1	1	1	1	
10	1	1	1	1	1	1	
11	2	2	1	1	1	1	
12	2	2	1	1	1	1	
13	2	2	1	1	1	1	
14	4	4	4	1	4	1	
15	4	4	4	1	4	1	
16	4	4	4	1	4	1	
17	4	4	4	1	4	1	
18	4	4	4	1	4	1	
19	6	6	6	6	6	6	
20	6	6	6	6	6	6	
21	6	6	6	6	6	6	
22	6	6	6	6	6	6	
23	6	6	6	6	6	6	
24	1	1	1	3	3	3	
25	1	1	1	3	3	3	
26	4	1	1	4	4	4	
27	1	1	1	3	3	3	
28	1	2	2	3	3	3	
29	1	5	5	5	5	5	
30	1	5	5	5	5	5	
31	6	6	6	6	6	6	
32	6	6	6	6	6	6	
33	6	6	6	6	6	6	
34	6	6	6	6	6	6	
35	6	6	6	6	6	6	
36	6	6	6	6	6	6	
37	6	6	6	6	6	6	
38	6	6	6	6	6	6	
39	6	6	6	6	6	6	
40	6	6	6	6	6	6	
41	6	6	6	6	6	6	
42	6	6	6	6	6	6	
43	6	6	6	6	6	6	
44	6	6	6	6	6	6	
45	6	6	6	6	6	6	
46	6	6	6	6	6	6	
47	6	6	6	6	6	6	
48	6	6	6	6	6	6	
49	6	6	6	6	6	6	
50	6	6	6	6	6	6	
51	6	6	6	6	6	6	
52	6	6	6	6	6	6	
53	6	6	6	6	6	6	
54	6	6	6	6	6	6	
55	6	6	6	6	6	6	
56	6	6	6	6	6	6	
57	6	6	6	6	6	6	
58	6	6	6	6	6	6	
59	6	6	6	6	6	6	
60	6	6	6	6	6	6	
61	6	6	6	6	6	6	
62	6	6	6	6	6	6	
63	6	6	6	6	6	6	
64	6	6	6	6	6	6	
65	6	6	6	6	6	6	
66	6	6	6	6	6	6	
67	6	6	6	6	6	6	
68	6	6	6	6	6	6	
69	6	6	6	6	6	6	
70	6	6	6	6	6	6	
71	6	6	6	6	6	6	
72	6	6	6	6	6	6	
73	6	6	6	6	6	6	
74	6	6	6	6	6	6	
75	6	6	6	6	6	6	
76	6	6	6	6	6	6	
77	6	6	6	6	6	6	
78	6	6	6	6	6	6	
79	6	6	6	6	6	6	
80	6	6	6	6	6	6	
81	6	6	6	6	6	6	
82	6	6	6	6	6	6	
83	6	6	6	6	6	6	
84	6	6	6	6	6	6	
85	6	6	6	6	6	6	
86	6	6	6	6	6	6	
87	6	6	6	6	6	6	
88	6	6	6	6	6	6	
89	6	6	6	6	6	6	
90	6	6	6	6	6	6	
91	6	6	6	6	6	6	
92	6	6	6	6	6	6	
93	6	6	6	6	6	6	
94	6	6	6	6	6	6	
95	6	6	6	6	6	6	
96	6	6	6	6	6	6	
97	6	6	6	6	6	6	
98	6	6	6	6	6	6	
99	6	6	6	6	6	6	
100	6	6	6	6	6	6	
