1	[0, 1]	[0, 1]	[2, 4]	[3]	[2, 4]	[5]	
43	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
44	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
45	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
46	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
47	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
48	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
49	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
50	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
51	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
52	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
53	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
54	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
55	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
56	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
57	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
58	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
59	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
60	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
61	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
62	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
63	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
64	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
65	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
66	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
67	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
68	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
69	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
70	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
71	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
72	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
73	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
74	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
75	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
76	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
77	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
78	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
79	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
80	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
81	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
82	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
83	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
84	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
85	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
86	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
87	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
88	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
89	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
90	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
91	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
92	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
93	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
94	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
95	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
96	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
97	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
98	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
99	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
100	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
