0 	 2
1 	 3
2 	 2
3 	 1
4 	 1
5 	 2
6 	 1
7 	 1
8 	 1
9 	 1
10 	 2
11 	 2
12 	 2
13 	 4
14 	 4
15 	 4
16 	 4
17 	 4
18 	 6
19 	 6
20 	 6
21 	 6
22 	 6
23 	 3
24 	 3
25 	 4
26 	 3
27 	 3
28 	 5
29 	 5
30 	 6
31 	 6
32 	 6
33 	 6
34 	 6
35 	 6
36 	 6
37 	 6
38 	 6
39 	 6
40 	 6
41 	 6
42 	 6
43 	 6
44 	 6
45 	 6
46 	 6
47 	 6
48 	 6
49 	 6
50 	 6
51 	 6
52 	 6
53 	 6
54 	 6
55 	 6
56 	 6
57 	 6
58 	 6
59 	 6
60 	 6
61 	 6
62 	 6
63 	 6
64 	 6
65 	 6
66 	 6
67 	 6
68 	 6
69 	 6
70 	 6
71 	 6
72 	 6
73 	 6
74 	 6
75 	 6
76 	 6
77 	 6
78 	 6
79 	 6
80 	 6
81 	 6
82 	 6
83 	 6
84 	 6
85 	 6
86 	 6
87 	 6
88 	 6
89 	 6
90 	 6
91 	 6
92 	 6
93 	 6
94 	 6
95 	 6
96 	 6
97 	 6
98 	 6
99 	 6
